Mejor prestigio: 2826
Pared, de longitud 904, compuesta por los siguientes cuadros:

Cuadro de prestigio 99; longitud 6; proporción 16; colgado en horizontal
Cuadro de prestigio 95; longitud 11; proporción 8; colgado en vertical
Cuadro de prestigio 53; longitud 7; proporción 7; colgado en horizontal
Cuadro de prestigio 74; longitud 10; proporción 7; colgado en horizontal
Cuadro de prestigio 62; longitud 9; proporción 6; colgado en vertical
Cuadro de prestigio 40; longitud 6; proporción 6; colgado en horizontal
Cuadro de prestigio 64; longitud 11; proporción 5; colgado en horizontal
Cuadro de prestigio 63; longitud 11; proporción 5; colgado en horizontal
Cuadro de prestigio 28; longitud 5; proporción 5; colgado en horizontal
Cuadro de prestigio 88; longitud 16; proporción 5; colgado en vertical
Cuadro de prestigio 82; longitud 15; proporción 5; colgado en horizontal
Cuadro de prestigio 38; longitud 7; proporción 5; colgado en vertical
Cuadro de prestigio 83; longitud 17; proporción 4; colgado en vertical
Cuadro de prestigio 75; longitud 16; proporción 4; colgado en horizontal
Cuadro de prestigio 44; longitud 10; proporción 4; colgado en horizontal
Cuadro de prestigio 92; longitud 22; proporción 4; colgado en horizontal
Cuadro de prestigio 20; longitud 5; proporción 4; colgado en vertical
Cuadro de prestigio 39; longitud 10; proporción 3; colgado en horizontal
Cuadro de prestigio 56; longitud 16; proporción 3; colgado en vertical
Cuadro de prestigio 53; longitud 16; proporción 3; colgado en vertical
Cuadro de prestigio 71; longitud 22; proporción 3; colgado en vertical
Cuadro de prestigio 67; longitud 21; proporción 3; colgado en horizontal
Cuadro de prestigio 47; longitud 15; proporción 3; colgado en vertical
Cuadro de prestigio 34; longitud 11; proporción 3; colgado en vertical
Cuadro de prestigio 60; longitud 20; proporción 3; colgado en horizontal
Cuadro de prestigio 95; longitud 33; proporción 2; colgado en horizontal
Cuadro de prestigio 87; longitud 32; proporción 2; colgado en horizontal
Cuadro de prestigio 73; longitud 27; proporción 2; colgado en vertical
Cuadro de prestigio 85; longitud 32; proporción 2; colgado en horizontal
Cuadro de prestigio 91; longitud 38; proporción 2; colgado en vertical
Cuadro de prestigio 37; longitud 16; proporción 2; colgado en vertical
Cuadro de prestigio 30; longitud 13; proporción 2; colgado en vertical
Cuadro de prestigio 75; longitud 33; proporción 2; colgado en vertical
Cuadro de prestigio 55; longitud 25; proporción 2; colgado en vertical
Cuadro de prestigio 48; longitud 22; proporción 2; colgado en horizontal
Cuadro de prestigio 15; longitud 7; proporción 2; colgado en vertical
Cuadro de prestigio 98; longitud 46; proporción 2; colgado en vertical
Cuadro de prestigio 90; longitud 43; proporción 2; colgado en vertical
Cuadro de prestigio 96; longitud 47; proporción 2; colgado en horizontal
Cuadro de prestigio 78; longitud 39; proporción 2; colgado en horizontal
Cuadro de prestigio 87; longitud 45; proporción 1; colgado en horizontal
Cuadro de prestigio 92; longitud 50; proporción 1; colgado en horizontal
Cuadro de prestigio 67; longitud 41; proporción 1; colgado en vertical
